Oil exports,Year
1776000000,1980
1550000000,1981
1359000000,1982
1300000000,1983
1307000000,1984
1229000000,1985
1369000000,1986
1339000000,1987
1444000000,1988
1511000000,1989
1587000000,1990
1598000000,1991
1781000000,1992
1838000000,1993
1860000000,1994
1904000000,1995
1971000000,1996
2066000000,1997
2151000000,1998
2097000000,1999
2224000000,2000
2197000000,2001
2151000000,2002
2281000000,2003
2449000000,2004
2500000000,2005
2483000000,2006
2495000000,2007
2462000000,2008
2358000000,2009
2388000000,2010
2429000000,2011
2435000000,2012
2391000000,2013
2360000000,2014
2455000000,2015
2635000000,2016
2653000000,2017
2709000000,2018
