Oil consumption - TWh,Year
18012.52,1965
19427.398,1966
20779.828,1967
22511.285,1968
24446.174,1969
26672.713,1970
28117.908,1971
30331.375,1972
32722.135,1973
32224.648,1974
31992.346,1975
34059.953,1976
35189.734,1977
36703.98,1978
37182.266,1979
35561.332,1980
34295.703,1981
33270.605,1982
33099.758,1983
33624.367,1984
33686.312,1985
34717.92,1986
35513.047,1987
36628.914,1988
37209.367,1989
37608,1990
37688.625,1991
38192.87,1992
38024.57,1993
38852.32,1994
39431.895,1995
40326.613,1996
41422.08,1997
41583.832,1998
42266.777,1999
42983.43,2000
43366.16,2001
43650.734,2002
44580.05,2003
46367.14,2004
46965.55,2005
47468.766,2006
48022.76,2007
47628.992,2008
46566.066,2009
48058.23,2010
48400.316,2011
49164.34,2012
49654.363,2013
50011.83,2014
50977.21,2015
52060.85,2016
52978.8,2017
53521.387,2018
53618.926,2019
48745.684,2020
51530.492,2021
53226.84,2022
54564,2023
